review,sentiment
"The story: On the island Texel, photographer Bob, who makes a photo shoot for a magazine, meets the mysterious Kathleen. Her free spirit and lust for life intrigues Bob, who has suffered a very traumatic experience shortly before. Her life is not so simple as it seems, however. Through Kathleen, Bob gets entangled in a dangerous network. Will Kathleen be able to win his trust?&lt;br /&gt;&lt;br /&gt;Review: The dialogue in this movie is very natural and the story unfolds nicely although it stays a bit on the surface and it would have been nice if the character's 'psychology' would have been worked out a little more. Why do these people do the things they do? What motivates their choices? This is what gives a movie depth and something to think about in my view. The story never reaches an emotional climax, even though the characters go through enough to justify that. So you don't get to know the characters on that deeper level. The actors deliver good work and play in a very natural and 'believable' way, but I think it would have suited the movie better if Kathleen had been played by a younger actress, as this character's naiveness doesn't quite work for a grown-up woman. Camera-work is nice, and there are some great shots of the nature on the island. I give the movie a 7/10.",1
"I cherish each and every frame of this beautiful movie. It is about regular people, people we all know, who suffer a little in their life and have some baggage to carry around. Just like all of us. Robert DeNiro, Ed Harris and Kathy Baker breathe life into their portrayals and are all excellent, but Harris is especially heartbreaking and therefore very real. You would swear he really is a trucker who drinks so he won't have to feel anything. Baker as his put-upon sister also has some delicate moments - when DeNiro gives her flowers in one scene, it seems like she was never given flowers before and probably wasn't. Very worthwhile.",1
"This is a complex documentary that shows many things about early Gay life. To put it in perspective it was when Gay was the word used for the homo-sexual revolution, and not just Gay as a descriptor. Or is it still used that way today? I believe most of the film comes from circa 1968 to 1989. It was released in 1993, so it's been around.&lt;br /&gt;&lt;br /&gt;I was touched by the documentaries capturing of one man's love for another over a 20 some odd year period. A love expressed in ways that only true love can be. There are many scenes of incredible empathy and pain, along with scenes of joy and pleasure. There are scenes of life as a homo-sexual and life as a gay. The film itself was a work of love, and I believe it to be a diamond.&lt;br /&gt;&lt;br /&gt;At the very least one will get out of this film an understanding of the devastating impact of AIDS. As I write this, I am thinking how much earlier this film seems to me to have been set. The advances in medical, political, and social sciences and culture that have taken place since this film was set (some 15 years ago) are amazing. However, obviously, in the case of the disease of AIDS itself, we are not done yet. Heck I guess we aren't done on all fronts.&lt;br /&gt;&lt;br /&gt;Anyway, it's just a pretty darn good documentary. I'd encourage anyone that feels that they don't quite understand gay life, gay issues, or the devastation of AIDS to watch this film.",1
"There were times when this movie seemed to get a whole lot more complicated than it needed to be, but I guess that's part of it's charm. Detective Philo Vance's powers of observation seem greater than all the Oriental sleuths of the era combined when it comes down to that final evaluation of how the murders were committed. The dropping of the dagger into the Chinese vase was the kicker for me; I mean, couldn't somebody have just dropped it? &lt;br /&gt;&lt;br /&gt;Vance (William Powell) had a line early in the film about Archer Coe's 'psychological impossibility' to kill himself - I had to think about that for a while. I was left wondering if there's some scientific basis in fact for that concept to be true, not having studied psychology myself. Seems logical, but then there's always the case that doesn't fit the rules.&lt;br /&gt;&lt;br /&gt;You know, I got a kick out of the agitated coroner (Etienne Girardot), who reminded me of Star Trek's Dr. McCoy the couple of times he stated \I'm a doctor, not a magician\"" and \""I'm a doctor, not a detective\"". I can picture DeForrest Kelley watching the film and saying to himself - 'I'll have to use that sometime'.&lt;br /&gt;&lt;br /&gt;Once the killer's identity is revealed, it doesn't seem like such a big surprise, but up till then it's really anybody's guess. But Archer and Brisbane Coe aside, the film didn't answer the central question posed by the title, and the murder I was really interested in - who killed Sir Thomas MacDonald's dog Ghillie?""",1
"This is such a great movie \Call Me Anna\"" because it shows how a person has suffered for so long without knowing what was wrong with her. For Patty Duke to come out in the publics eye and tell her story is an inspiration to those who suffer from this disease. I have a lot of respect for her as a person. The only thing I don't like is I can't get it on tape, I've tried looking for it but with no success. Any one know how to get it?""",1
"I couldn't believe some of the horrible dialog coming out of people's mouths, and the end reel of bloopers attached to body of the film was a real hoot. And we get titty shots of Angelique Pettyjohn (sort of) and Loren Crabtree to boot.&lt;br /&gt;&lt;br /&gt;A teleportation device activated by psychic Angelique Pettyjohn brings an alien container to an underground lab out in the desert. According to director Fred Olen Ray, they were leftover sets from the Klaus Kinski film, ANDROID which gives the film an increased value beyond how cheap it looks.&lt;br /&gt;&lt;br /&gt;Inside the container is a midget alien (played by Ray's son) who starts clawing people to death. It was pretty funny watching this little 'creature' in a black reptile suit with what looks like large beetle shells attached to it, running around in the dark. We even get to see the little thing stamp and tear at a poster of ET, which I thought was hilarious.&lt;br /&gt;&lt;br /&gt;And then there's what looks like a snake that also comes out of the container that gets hammered to death by William Fair, after the mini creature chews into Frank McDonald's neck in the kitchen. A low budget take on ALIEN, I suppose...&lt;br /&gt;&lt;br /&gt;The whole thing ends abruptly, looking like they ran out of film at the end before the blooper reel comes in with the end credits. Talk about a lack of funding...&lt;br /&gt;&lt;br /&gt;Fred Olen Ray also mentions in the director's commentary that they also weren't sure if Aldo Ray would make through the shooting and remember his lines. He barely did.&lt;br /&gt;&lt;br /&gt;Low budget cheese sneeze. It's fun to watch, I'll grant ya that. &lt;br /&gt;&lt;br /&gt;4 out of 10",0
I find it hard to understand why this piece of utter trash was repackaged. The only saving grace in the whole thing is the body of Ariauna in her sexy uniform. Her humour is also to be appreciated. She is a definite plus but alas it would take a magician to salvage this garbage. However she must be positively recognised for her heroic effort &amp; true professionalism. Can't say the same for her co star Lilith with her whining voice that grates on your nervous system. Appeared disinterested &amp; gave the impression that just her presence on the set was all that was needed. All said apart from Ariauna's performance it is indeed utter trash.,0
"I'd have to say that this was a little embarrassing for the 'King of the Cowboys'; made in 1948, the picture came out a decade after Roy Rogers' earliest pictures in which he had a starring role. Roy's character comes off as a bit clueless in this one, along with his female co-star Jane Frazee, who alternates her allegiance between Roy and Robert Livingston, portraying chief bad guy Bill Regan. The whole story seems kind of muddled, with missed opportunities for what could have been an entertaining hour or so. Like the legend of the 'Hangman's Hotel' for example, which says the hanged man comes to life at midnight. With Andy Devine in the cast as Cookie Bullfincher, you would think the story would get a little mileage out of that set up. Instead, you have some convoluted proceedings that would have been better served if this had been a Bowery Boys flick. It was a sad attempt at a haunted hotel gimmick that relied on poor old Genevieve, who truth be told, wound up getting more screen time than Trigger, who's contract as 'Smartest Horse in the Movies' didn't have anything to say about getting upstaged by a mule. And then you have Foy Willing and his Riders of the Purple Sage replacing Bob Nolan and the Sons of the Pioneers for your musical interlude. I don't know about you, but it was already half way into the picture and I was still looking for Pat Brady - oh well! &lt;br /&gt;&lt;br /&gt;Yet there was still an interesting element to be found here if you were looking hard enough, and that turned out to be Roy's athletic dismount of Trigger while still on the run from the bad guys. OK, it was probably a stunt double, but I haven't seen that one before in a couple hundred Westerns.&lt;br /&gt;&lt;br /&gt;Jane Frazee does the honors as the female lead in this picture, as she would in four other films opposite Roy in the 1947/1948 time frame. In \Under California Stars\"", she appeared as Andy Devine's cousin, appropriately named Caroline Bullfincher. You're never quite convinced what side she'll come in on in this story though, since she starts out pretending to be someone she's not, and winds up on the good guy side almost by accident.&lt;br /&gt;&lt;br /&gt;Fans of the old Laurel and Hardy films might be as surprised as I was to see James Finlayson here as the Sheriff of Sintown. I would have liked a little more comedy relief written into his role, but he played it pretty straight after all. I had to wonder, when it was all over, why he and old Vanderpool (Charle Coleman) wound up in the mine shaft with Cookie when there was no reason for that to be. Just a way to close it out I guess, with about as much thought as went into the rest of the picture. I hate to be that harsh, but if you've seen enough Roy Rogers flicks, you've got to know that this was not one of his finer efforts.&lt;br /&gt;&lt;br /&gt;Say, Sintown - I wonder if that's the same place that grew up to be Sin City?""",0
"I only saw IPHIGENIA once, almost 30 years ago, but it has haunted me since.&lt;br /&gt;&lt;br /&gt;One sequence particularly stays in mind, and could only have been fashioned by a great director, as Michael Cacoyanis undoubtedly is.&lt;br /&gt;&lt;br /&gt;The context: the weight of history and a mighty army and fleet all lie on King Agamemnon's shoulders. An act of sacrilege has becalmed the seas, endangering his great expedition to Troy. He is told he must sacrifice his daughter Iphigenia to Apollo in order to gain the winds for the sails of the Thousand Ships. He initially resists, but comes around, and tricks his wife Clytemenstra to bring their daughter to the Greek camp in order to marry the greatest of all warriors, Achilles.&lt;br /&gt;&lt;br /&gt;Clytemnestra and Iphigenia arrive, find out about the sacrifice, and rage to the gods for protection and vengeance. Meanwhile, the proud Achilles discovers that his name has been used in this fraudulent, dishonorable way. He climbs a hill to tell Iphigenia that he will protect her.&lt;br /&gt;&lt;br /&gt;The shot: The camera circles the two young people, without looking directly at each other. They bemoan their fate, and the weakness of men that deceive their loved ones and lust for war. Suddenly, they gaze at each other and, for one moment, we feel both their power and beauty, and the unstated--except by the camera--irony that in another time, another place, they perhaps could love each other and be married. It is a sharp and sad epiphany that lasts only for an instant.&lt;br /&gt;&lt;br /&gt;What direction! What camera! What storytelling!",1
"I was lucky enough to see Zero Day last night. It's an amazing movie. A very disturbing one at that.&lt;br /&gt;&lt;br /&gt;In a way, Zero Day is very comparable to \The Blair Witch Project\"". It's shot completley with handheld camcorders. It's about 2 kids. Just your average kids. Andre and Calvin. They start a campaign against there High School entitled \""Army of 2\"".&lt;br /&gt;&lt;br /&gt;The whole story is told in Video Diary form, from the 2 kids. It shows there relationships with there parents, amongst other people, showing that these are just normal kids, just like people we know or who have bumped into. We find out The Army of 2's last mission will be entitles Zero Day. They plan to shoot up there High School.&lt;br /&gt;&lt;br /&gt;You see how they get access to there guns, how they plan it out, everything. They stress that the media has not affected them at all, and there is no reason for doing this. Like I said, this is all told in Video Diary form, and then they store the tapes in a safety deposit box to be seen after Zero Day.&lt;br /&gt;&lt;br /&gt;The actual shooting is shown through Survillence Cameras throughout the school. Chilling indeed. The movie is very chilling. Some of the things they say, how they plan it out, you'd just have to see it for yourself. One quote that I remember is the only time Calvin is byhimself. He says \""Andre thinks were just gonna leave in some getaway car, doing this to numerous schools across the country. I don't know what he's thinking, but the only way I'm coming out of the school is in a black plastic bag\"".&lt;br /&gt;&lt;br /&gt;I'm probaly not even giving you guys the proper idea of this film. You really need to see it yourself. It's going around festivals right now.&lt;br /&gt;&lt;br /&gt;A+.""",1
"This movie could have been very good, but comes up way short. Cheesy special effects and so-so acting. I could have looked past that if the story wasn't so lousy. If there was more of a background story, it would have been better. The plot centers around an evil Druid witch who is linked to this woman who gets migraines. The movie drags on and on and never clearly explains anything, it just keeps plodding on. Christopher Walken has a part, but it is completely senseless, as is most of the movie. This movie had potential, but it looks like some really bad made for TV movie. I would avoid this movie.",0
"If you are a fan of Altman's large ensemble casts, as evidenced in major films like M.A.S.H., Nashville, Gosford Park, and lesser seen films like A Wedding, then you will no doubt be entertained by HealtH. Centered around a Health Convention where two women are running for President, HealtH contains many of Altman's latter 70s regulars like Paul Dooley (who helped write the film), Carol Burnett, and Henry Gibson, while also including top star Altman newcomers like Lauren Bacall, James Garner, and Glenda Jackson. Like a lot of Altman ensemble films there are numerous subplots in this film, but it is not nearly as overwhelming as films like Nashville or A Wedding, rather it has a more centered feel, perhaps like M.A.S.H. or Gosford Park. The whole thing is an obvious satire on the Health movement, filled with over-top, outlandish, contradictive characters, with guest stars like Dick Cavett providing a wry commentary on the whole thing. Underlining the whole election process is Altman's characteristic pessimism about politics and public appeal but what is most appealing about this film is the sheer fun most people seem to be having. This would be one of Altman's last films like this for a while!",1
"I just got done watching \Kalifornia\"" on Showtime for the fourth time since I first saw it back in July of 2001. You would think that with the recent wave of serial killer films, that \""Kalifornia\"" would be amongst some of the earlier films worthy of mention but hasn't. Perhaps if this film had been released sometime between like 1996-1999, maybe it might have been more successful. In my opinion, \""Kalifornia\"" is much different from most serial killer films released during the late 1990s. It has an almost completely different atmosphere from most of today's serial killer films like \""Seven\"" or \""The Bone Collector\"". Many serial killer films have shown a killer but that person is always behind a mask or we never see enough of them to actually learn anything about them. \""Kalifornia\"" is a film that actually tries to break through that barrier and actually understand the criminal mind. It tries to answer questions like \""why do they do the things they do? Is it because of something that happened in their past? Does it make them feel superior or powerful? Or do they do it because they like the thrill of the kill?\"" These are some of the things that \""Kalifornia\"" tries to answer but also leaves room for us to try and figure things out for ourselves. Brad Pitt makes an everlasting impression as Early Grayce. When we first meet Early in the beginning of the film, we see that he is obviously one disturbed individual. When we first see him, it's late at night. Early is possibly drunk. We then see him pick up a rock, throw it off a bridge, and it later lands on the windshield of a passing car. Pitt is fierce in this film. It is always good to see him when he plays psychos or really bad people. It's funny that this would later lead him play a true loon like in \""12 Monkeys\"" and that he would be on the other end of the spectrum in David Fincher's \""Seven\"".""",1
"I used to love watching \Sabrina, the Teenage Witch\"" Friday nights on ABC's TGIF. I think this was one of the best shows on TGIF. My friends and I used to get together every Friday just to watch this show and we never missed an episode.&lt;br /&gt;&lt;br /&gt;My favorite character was Salem. He was adorable and sooo funny. I liked Sabrina's boyfriend Harvey, too. He was HOT. I think Melissa Joan Hart played a good teenage witch, too. My favorite episodes were \""Sabrina Through the Looking Glass\"" and \""Hilda and Zelda: the Teenage Years\"". Those episodes were great.&lt;br /&gt;&lt;br /&gt;Overall I really miss this show. I hope one day ABC brings it back with new episodes. I give this show 10/10 stars.""",1
